GENED 1123,126908,Friday,12/13/2019,09:00 AM,Malika Zeghal,Science Center A
GENED 1129,110382,Saturday,12/14/2019,09:00 AM,Donald Goldmann,Northwest B-103
GENED 1131,212841,Saturday,12/14/2019,09:00 AM,Kathleen Coleman,Northwest B-101
GENED 1154,212847,Saturday,12/14/2019,09:00 AM,Jason Mitchell,"Emerson 105 (A-Q), 210 (R-Z)"
GERMAN 10A,113802,Monday,12/16/2019,09:00 AM,Lisa Parkes,Science Center A
GERMAN 10AB,124093,Monday,12/16/2019,09:00 AM,Lisa Parkes,Boylston 104
GERMAN 143,203214,Tuesday,12/10/2019,09:00 AM,Alison Frank Johnson,Emerson 108
GERMAN 61,122031,Tuesday,12/10/2019,09:00 AM,Peter Burgard,Emerson 104
GIKUYU AA,120934,Monday,12/16/2019,09:00 AM,John Mugane,Northwest B-107
GOV 1060,114754,Thursday,12/19/2019,09:00 AM,Harvey Mansfield,Science Center E
GOV 1074,156108,Wednesday,12/11/2019,02:00 PM,Eric Nelson,Science Center E
GOV 1243,111162,Thursday,12/19/2019,02:00 PM,Timothy Colton,Science Center D
GOV 1263,207164,Wednesday,12/11/2019,02:00 PM,Horacio Larreguy,Northwest B-108
GOV 1270,110842,Wednesday,12/18/2019,02:00 PM,Daniel Smith,Emerson 105
GOV 1368,121728,Tuesday,12/17/2019,02:00 PM,Paul Peterson,Emerson 305
GOV 1510,128024,Thursday,12/12/2019,02:00 PM,Richard Fallon,Science Center B
GOV 1734,160373,Saturday,12/14/2019,09:00 AM,Stephen Rosen,Emerson 108
GOV 1780,111906,Wednesday,12/18/2019,02:00 PM,Jeffry Frieden,Science Center D
GOV 20,117853,Tuesday,12/17/2019,02:00 PM,George Soroka,Science Center B
GOV 2005,110953,Wednesday,12/18/2019,02:00 PM,William Clark,Emerson 108
GOV 30,111813,Wednesday,12/18/2019,09:00 AM,Paul Peterson,"Yenching 18
(Auditorium)"
GREEK 1,203024,Monday,12/16/2019,09:00 AM,Ivy Livingston,Northwest B-104
GREEK 10,203230,Wednesday,12/11/2019,09:00 AM,Ivy Livingston,Boylston 104
GREEK 108,117421,Saturday,12/14/2019,09:00 AM,Gregory Mellen,Northwest B-105
GREEK 112A,112288,Tuesday,12/10/2019,09:00 AM,David Elmer,Boylston 104
GREEK 2X,203260,Monday,12/16/2019,09:00 AM,Ivy Livingston,Northwest B-110
GREEK 3,203229,Monday,12/16/2019,09:00 AM,Ivy Livingston,Northwest B-106
GULLAH AA,206597,Saturday,12/14/2019,02:00 PM,John Mugane,Emerson 108
HAITIAN 101AR,205856,Wednesday,12/11/2019,09:00 AM,John Mugane,Northwest B-104
HEB 1280,202992,Wednesday,12/11/2019,02:00 PM,Richard Wrangham,Northwest B-103
HIST 1002,212669,Wednesday,12/18/2019,02:00 PM,Lisa McGirr,"Yenching 18
(Auditorium)"
HIST 1004,207529,Saturday,12/14/2019,02:00 PM,Brandon Bloch,Science Center D
HIST 1023,142657,Tuesday,12/17/2019,09:00 AM,Andrew Gordon,Emerson 108
HIST 1024,125049,Wednesday,12/11/2019,02:00 PM,Maya Jasanoff,Emerson 105
HIST 1036,116237,Saturday,12/14/2019,09:00 AM,Sugata Bose,Emerson 106
HIST 1265,110285,Tuesday,12/10/2019,09:00 AM,Alison Frank Johnson,Emerson 108
HIST 1300,119533,Friday,12/13/2019,09:00 AM,James Hankins,Boylston 103
HIST 1330,111490,Thursday,12/19/2019,09:00 AM,James Kloppenberg,Emerson 101
HIST 1465,117932,Tuesday,12/10/2019,09:00 AM,Erez Manela,Emerson 210
HIST 1700,124404,Tuesday,12/17/2019,02:00 PM,"Emmanuel
Akyeampong",Emerson 101
HISTSCI 100,123398,Saturday,12/14/2019,09:00 AM,Alex Csiszar,"Geological Museum
Lecture Hall"
HISTSCI 181,160334,Thursday,12/19/2019,02:00 PM,Matthew Hersch,Science Center C
HUMAN 10A,110440,Tuesday,12/10/2019,09:00 AM,Louis Menand,Science Center D
IGBO 101AR,205865,Tuesday,12/10/2019,02:00 PM,John Mugane,Emerson 307
IGBO AA,126308,Wednesday,12/18/2019,02:00 PM,John Mugane,Boylston 105
IGBO BA,205860,Tuesday,12/10/2019,02:00 PM,John Mugane,Boylston 103
JAMAICAN BA,205863,Thursday,12/19/2019,02:00 PM,John Mugane,Emerson 104
JAPAN 120A,159595,Monday,12/16/2019,09:00 AM,Naomi Asakura,Emerson 305
JAPAN 130A,114292,Monday,12/16/2019,09:00 AM,Tomoko Graham,Emerson 108
JAPAN 140A,113348,Monday,12/16/2019,09:00 AM,Ikue Shingu,Northwest B-108
JAPAN BA,111193,Monday,12/16/2019,09:00 AM,Yuko Kageyama-Hunt,Lowell Lecture Hall
KAMBA AA,206920,Tuesday,12/17/2019,09:00 AM,John Mugane,Boylston 103
KOREAN 120A,117220,Monday,12/16/2019,09:00 AM,Joungmok Lee,Emerson 106
KOREAN BA,124296,Monday,12/16/2019,09:00 AM,Hi-Sun Kim,Emerson 105
KOREAN BX,114383,Monday,12/16/2019,09:00 AM,Hi-Sun Kim,Emerson 104
LATIN 1,203025,Monday,12/16/2019,09:00 AM,Ivy Livingston,Boylston 105
LATIN 10,203228,Wednesday,12/18/2019,02:00 PM,Ivy Livingston,Boylston 103
LATIN 117,110614,Thursday,12/19/2019,09:00 AM,Rachel Love,Northwest B-108
LATIN 201,117068,Wednesday,12/11/2019,02:00 PM,Gregory Mellen,Northwest B-105
LATIN 2X,203258,Monday,12/16/2019,09:00 AM,Ivy Livingston,Robinson 105
LATIN 3,203227,Monday,12/16/2019,09:00 AM,Ivy Livingston,Emerson 307
LATIN AX,122177,Monday,12/16/2019,09:00 AM,Ivy Livingston,Boylston 103
LATIN H,135062,Monday,12/16/2019,09:00 AM,Rachel Love,Northwest B-109
LIFESCI 1A,121189,Thursday,12/12/2019,09:00 AM,Richard Losick,"Science Center B (A-M), D (N-Z)"
LIFESCI 2,123674,Friday,12/13/2019,09:00 AM,Daniel Lieberman,Science Center B
LIFESCI 50A,159706,Wednesday,12/11/2019,02:00 PM,Andrew Murray,Science Center D
LING 104,125790,Friday,12/13/2019,09:00 AM,Jonathan Bobaljik,Boylston 105
LING 105,111954,Thursday,12/12/2019,02:00 PM,Kevin Ryan,Emerson 305
LING 173,113738,Wednesday,12/18/2019,02:00 PM,Wesley Jacobsen,Emerson 104
LING 250,123710,Tuesday,12/17/2019,02:00 PM,Michael Flier,Northwest B-108
LING 83,122514,Wednesday,12/11/2019,02:00 PM,Kathryn Davidson,Lowell Lecture Hall
LPS A,123833,Wednesday,12/11/2019,09:00 AM,Gregory C. Tucci,Science Center B
MANCHU A,124837,Thursday,12/19/2019,02:00 PM,Mark Elliott,Boylston 105
MATH 131,111458,Tuesday,12/17/2019,09:00 AM,Denis Auroux,Northwest B-101
MATH 18A,125396,Saturday,12/14/2019,09:00 AM,Drew Zemke,Science Center E
MATH 1A,123680,Friday,12/13/2019,02:00 PM,Jill Guerra,"Northwest B 101 (A-D), 103 (E-T), 108 (U-Z)"
MATH 1B,111010,Friday,12/13/2019,02:00 PM,Hakim Walker,"Science Center C (A-M), D (N-Z)"
MATH 21A,119196,Friday,12/13/2019,02:00 PM,Oliver Knill,"Science Center B (A-R), A (S-Z)"
MATH 21B,110989,Friday,12/13/2019,02:00 PM,Matthew Demers,"Yenching 18
(Auditorium)"
MATH 22A,207485,Friday,12/13/2019,09:00 AM,Dusty Grundmeier,Science Center D
MATH 23A,111695,Saturday,12/14/2019,02:00 PM,Paul Bamberg,Science Center C
MATH 25A,110808,Wednesday,12/11/2019,09:00 AM,John Cain,Emerson 105
MATH MA,111161,Friday,12/13/2019,02:00 PM,Brendan Kelly,Emerson 105
MCB 148,159880,Wednesday,12/18/2019,02:00 PM,Ryan W. Draft,Northwest B-101
MCB 169,111720,Tuesday,12/10/2019,09:00 AM,Shiv Pillai,"Yenching 18
(Auditorium)"
MCB 80,117711,Wednesday,12/11/2019,02:00 PM,Venkatesh Murthy,Science Center B
MOD-HEB 120A,110947,Wednesday,12/11/2019,02:00 PM,Irit Aharony,Northwest B-106
MOD-HEB BA,114218,Wednesday,12/11/2019,09:00 AM,Irit Aharony,Boylston 105
NEURO 148,207607,Wednesday,12/18/2019,02:00 PM,Ryan W. Draft,Northwest B-101
NEURO 80,207476,Wednesday,12/11/2019,02:00 PM,Venkatesh Murthy,Science Center B
OEB 10,144594,Wednesday,12/11/2019,02:00 PM,Brian Farrell,Science Center C
OEB 114,142192,Wednesday,12/11/2019,09:00 AM,David Haig,Northwest B-101
OEB 145,145857,Wednesday,12/18/2019,02:00 PM,Yun Zhang,Boylston 104
OEB 56,130331,Wednesday,12/11/2019,02:00 PM,Andrew Knoll,Northwest B-101
PHIL 108,205352,Wednesday,12/11/2019,02:00 PM,Jacob Rosen,Boylston 105
PHIL 120,111716,Thursday,12/19/2019,02:00 PM,Jeffrey McDonough,Northwest B-101
PHIL 173,156024,Thursday,12/19/2019,09:00 AM,Selim Berker,Science Center D
PHIL 18,141608,Saturday,12/14/2019,09:00 AM,Seth Robertson,Boylston 103
PHIL 3,111175,Wednesday,12/11/2019,02:00 PM,Bernhard Nickel,Emerson 305
PHYSCI 2,122575,Thursday,12/19/2019,02:00 PM,Gregory Kestin,Science Center B
PHYSICS 123,124108,Thursday,12/12/2019,09:00 AM,Thomas Hayes,Emerson 101
PHYSICS 143A,108465,Tuesday,12/10/2019,09:00 AM,Girma Hailu,Emerson 101
PHYSICS 151,111231,Thursday,12/19/2019,09:00 AM,Masahiro Morii,Emerson 104
PHYSICS 15A,111164,Thursday,12/19/2019,09:00 AM,David Morin,Emerson 105
PHYSICS 15B,111896,Thursday,12/19/2019,09:00 AM,Philip Kim,Northwest B-101
PHYSICS 15C,124154,Wednesday,12/11/2019,02:00 PM,Melissa Franklin,Science Center A
PHYSICS 223,109346,Thursday,12/12/2019,09:00 AM,Thomas Hayes,Emerson 101
PHYSICS 262,110526,Friday,12/13/2019,09:00 AM,David R. Nelson,Science Center E
PSY 1201,122224,Friday,12/13/2019,09:00 AM,Scott Lukas,Science Center C
PSY 1305,156054,Tuesday,12/10/2019,09:00 AM,Max Krasnow,Science Center A
PSY 1309,207573,Friday,12/13/2019,09:00 AM,Talia Konkle,Northwest B-108
PSY 14,126551,Friday,12/13/2019,09:00 AM,Daniel Schacter,Emerson 108
PSY 1454,156569,Saturday,12/14/2019,02:00 PM,George Alvarez,Emerson 305
PSY 1585,207887,Thursday,12/19/2019,02:00 PM,Joseph Vitriol,Emerson 210
PSY 18,123973,Tuesday,12/10/2019,02:00 PM,Joshua Buckholtz,Science Center B
PULAAR AA,206946,Tuesday,12/17/2019,02:00 PM,John Mugane,Boylston 103
RUSS AA,122907,Monday,12/16/2019,09:00 AM,Steven Clancy,Science Center E
RUSS BA,112823,Monday,12/16/2019,09:00 AM,Steven Clancy,Science Center E
RUSS 101,120717,Tuesday,12/17/2019,09:00 AM,Veronika Egorova,Emerson 101
RUSS 111,110859,Saturday,12/14/2019,09:00 AM,Natalia Pokrovsky,Boylston 104
RUSS 113,127533,Wednesday,12/11/2019,02:00 PM,Natalia Pokrovsky,Emerson 104
RUSS AAB,113925,Monday,12/16/2019,09:00 AM,Natalia Chirkov,Northwest B-105
SANSKRIT 101A,123045,Friday,12/13/2019,09:00 AM,Nell Hawley,Emerson 104
SANSKRIT 102AR,114270,Wednesday,12/11/2019,09:00 AM,Nell Hawley,Emerson 104
SCRB 10,125800,Wednesday,12/18/2019,02:00 PM,William Anderson,Emerson 210
SHBT 201,108213,Thursday,12/19/2019,02:00 PM,M. Liberman,Consult Faculty
SLAVIC 138,213422,Thursday,12/12/2019,09:00 AM,Michael Flier,Emerson 104
SOMALI 101AR,206590,Saturday,12/14/2019,09:00 AM,John Mugane,Northwest B-106
STAT 110,110766,Saturday,12/14/2019,09:00 AM,Joseph Blitzstein,"Science Center B (A-K), C (L-R), D (S-V), A (W-Z) "
STAT 131,117131,Thursday,12/19/2019,02:00 PM,Natesh Pillai,"Yenching 18
(Auditorium)"
STAT 210,111696,Wednesday,12/18/2019,09:00 AM,Joseph Blitzstein,Science Center A
STAT 230,119940,Monday,12/16/2019,02:00 PM,S. C. Samuel Kou,Emerson 106
STAT 244,127856,Wednesday,12/11/2019,09:00 AM,Mark Glickman,Emerson 305
SWAHILI 101AR,119820,Thursday,12/19/2019,02:00 PM,John Mugane,Emerson 101
SWAHILI AA,119819,Wednesday,12/11/2019,02:00 PM,John Mugane,Emerson 108
SWAHILI BA,144184,Tuesday,12/10/2019,02:00 PM,John Mugane,Boylston 104
TDM 130R,123080,Thursday,12/19/2019,09:00 AM,Marcus Stern,Boylston 105
TIBET 101A,113685,Tuesday,12/17/2019,02:00 PM,Leonard van der Kuijp,Boylston 105
TIBET 102A,116075,Wednesday,12/11/2019,02:00 PM,Leonard van der Kuijp,Northwest B-104
TIGRINYA AA,126313,Tuesday,12/10/2019,02:00 PM,John Mugane,Emerson 106
TIGRINYA BA,205887,Wednesday,12/11/2019,02:00 PM,John Mugane,Emerson 307
TWI 101AR,120948,Wednesday,12/18/2019,02:00 PM,John Mugane,Emerson 106
TWI AA,120944,Friday,12/13/2019,09:00 AM,John Mugane,Northwest B-105
TWI BA,120947,Tuesday,12/10/2019,02:00 PM,John Mugane,Northwest B-105
UKRA AA,116414,Wednesday,12/11/2019,02:00 PM,Volodymyr Dibrova,Northwest B-107
WSTAFRCN AA,204110,Tuesday,12/10/2019,02:00 PM,John Mugane,Boylston 105
WSTAFRCN BA,205888,Wednesday,12/11/2019,02:00 PM,John Mugane,Emerson 106
YORUBA 101AR,120954,Tuesday,12/17/2019,09:00 AM,John Mugane,Boylston 105
YORUBA 101BR,120955,Tuesday,12/17/2019,02:00 PM,John Mugane,Emerson 104
YORUBA AA,120952,Monday,12/16/2019,02:00 PM,John Mugane,Boylston 104
YORUBA BA,120953,Monday,12/16/2019,02:00 PM,John Mugane,Boylston 103
ZULU 101AR,205879,Wednesday,12/11/2019,09:00 AM,John Mugane,Emerson 106
ZULU AA,126316,Saturday,12/14/2019,09:00 AM,John Mugane,"Yenching 18
(Auditorium)"
ZULU BA,205889,Wednesday,12/11/2019,02:00 PM,John Mugane,Northwest B-110
