Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
125011,SPANSH 20,Intermediate Spanish,003,Romance Languages & Lit,"Gutierrez,Adriana",6,2,0,1,0,0,0,9
125011,SPANSH 20,Intermediate Spanish,004,Romance Languages & Lit,"Gutierrez,Adriana",13,0,0,1,0,0,0,14
125011,SPANSH 20,Intermediate Spanish,005,Romance Languages & Lit,"Gutierrez,Adriana",15,0,0,0,0,0,0,15
125011,SPANSH 20,Intermediate Spanish,006,Romance Languages & Lit,"Gutierrez,Adriana",20,0,0,1,0,0,0,21
125011,SPANSH 20,Intermediate Spanish,007,Romance Languages & Lit,"Gutierrez,Adriana",3,1,0,0,0,0,0,4
125011,SPANSH 20,Intermediate Spanish,008,Romance Languages & Lit,"Gutierrez,Adriana",0,0,0,0,0,0,0,0
161249,SPANSH 248,Politics of the Poem,001,Romance Languages & Lit,"Aguirre-Oteiza,Daniel",3,3,0,0,0,0,0,6
206817,SPANSH 255,Consumer Capitalism in Lat Am,001,Romance Languages & Lit,"Delgado Moya,Sergio",0,7,2,0,0,0,0,9
114200,SPANSH 30,Upper-level Spanish,001,Romance Languages & Lit,"Liander,Johanna Damgaard",4,0,0,0,0,0,0,4
114200,SPANSH 30,Upper-level Spanish,002,Romance Languages & Lit,"Liander,Johanna Damgaard",16,0,0,0,0,0,0,16
114200,SPANSH 30,Upper-level Spanish,003,Romance Languages & Lit,"Liander,Johanna Damgaard",16,1,0,0,0,0,0,17
114200,SPANSH 30,Upper-level Spanish,004,Romance Languages & Lit,"Liander,Johanna Damgaard",17,0,0,0,0,0,0,17
114200,SPANSH 30,Upper-level Spanish,005,Romance Languages & Lit,"Liander,Johanna Damgaard",19,0,0,0,0,0,0,19
143013,SPANSH 320,Spanish & Hispanic-American Li,006,Romance Languages & Lit,"Giron Negron,Luis M.",0,4,0,0,0,0,0,4
143013,SPANSH 320,Spanish & Hispanic-American Li,008,Romance Languages & Lit,"Sommer,Doris",0,1,0,0,0,0,0,1
111278,SPANSH 330,Doctoral Dissertations,008,Romance Languages & Lit,"Siskind,Mariano",0,1,0,0,0,0,0,1
125014,SPANSH 40,Advanced Spanish Language I,001,Romance Languages & Lit,"Liander,Johanna Damgaard",3,1,0,3,0,0,0,7
125014,SPANSH 40,Advanced Spanish Language I,002,Romance Languages & Lit,"Liander,Johanna Damgaard",19,1,0,2,0,0,0,22
125014,SPANSH 40,Advanced Spanish Language I,003,Romance Languages & Lit,"Liander,Johanna Damgaard",14,1,0,0,0,0,0,15
125014,SPANSH 40,Advanced Spanish Language I,004,Romance Languages & Lit,"Liander,Johanna Damgaard",4,0,0,0,0,0,0,4
125014,SPANSH 40,Advanced Spanish Language I,005,Romance Languages & Lit,"Liander,Johanna Damgaard",10,0,0,1,0,0,0,11
115920,SPANSH 50,Advanced Spanish II,001,Romance Languages & Lit,"Gutierrez,Adriana",11,0,0,0,0,0,0,11
115920,SPANSH 50,Advanced Spanish II,002,Romance Languages & Lit,"Gutierrez,Adriana",3,0,0,0,0,0,0,3
115920,SPANSH 50,Advanced Spanish II,003,Romance Languages & Lit,"Gutierrez,Adriana",8,0,0,0,0,0,0,8
115920,SPANSH 50,Advanced Spanish II,004,Romance Languages & Lit,"Gutierrez,Adriana",10,0,0,1,0,0,0,11
115919,SPANSH 59,Spanish and the Community,001,Romance Languages & Lit,"Parra-Velasco,Maria Luisa",10,0,0,1,0,0,0,11
159938,SPANSH 59H,Spanish for Latino Students II,001,Romance Languages & Lit,"Parra-Velasco,Maria Luisa",12,0,0,0,0,0,0,12
205383,SPANSH 61PH,Spanish for Public Health,001,Romance Languages & Lit,"Gutierrez,Adriana",19,0,0,0,0,0,0,19
119441,SPANSH 70C,Tales of Two Spains,001,Romance Languages & Lit,"Aguirre-Oteiza,Daniel",15,0,0,0,0,0,0,15
126853,SPANSH 71B,Intro to Mod Lat Am Lit,001,Romance Languages & Lit,"Delgado Moya,Sergio",15,0,0,1,0,0,0,16
205164,SPANSH 81,Table Talk and Food Writing,001,Romance Languages & Lit,"Liander,Johanna Damgaard",25,0,0,1,0,0,0,26
159855,SPANSH 99B,Tutorial - Senior Year,001,Romance Languages & Lit,"Parra-Velasco,Maria Luisa",1,0,0,0,0,0,0,1
111972,SPC-CONC 91R,Supervised Reading and Researc,001,Special Concentrations,"Laskin,Elisabeth Lauterbach",1,0,0,0,0,0,0,1
